company_name,reg_address_2
A TASTE OF TUSCANY LTD,ELSTREE
A TASTE OF TOURS LIMITED,MANCHESTER
A CERAMICS LIMITED,SHAW
A CONCEPT LIMITED,LONDON
"A STAR ACCOUNTING, & TRAINING SOLUTIONS LIMITED",LONDON
A.B.J.Z DRIVER HIRE  LTD,PLYMOUTH
A.K.WELDING SERVICE LTD,TRENCH
AJA PROPERTY DEVELOPMENT LTD,HARROW
ALDO BUILDS AND MAINTENANCE SERVICE LTD,LONDON
ALEX UK LIMITED LTD,MANCHESTER
ALL WRAPPED UP EVENTS MANAGEMENT LTD,MANCHESTER
ALTAI CASHMERE LLC,ULAANBAATAR
AND BREATHE LTD,BOSTON
ANIA WALDI TRANS LTD,ANDOVER 
